county_fips_code,in_lockdown,pct_change,pop,label,date,datevalue,category
20169,TRUE,-0.335,1278245,华春莹展示美国黑奴被迫采棉花照片,2021-03-25,44280,社会
20171,TRUE,-0.615,1276964,修复巴黎圣母院需近千棵百年橡树,2021-03-08,44263,社会
20173,TRUE,-0.623,1276331,杨紫 不要乱叫我老婆,2021-04-16,44302,
20175,TRUE,-0.247,1276295,宋侑庭去世,2021-01-25,44221,明星-日韩
20177,TRUE,-0.66,1276148,两个辛丑年的对比,2021-03-19,44274,社会
20179,TRUE,-0.895,1274791,大连社区解封90后志愿者激动落泪,2021-01-17,44213,社会
20181,TRUE,-0.468,1274787,石家庄疫情,2021-01-06,44202,社会
20183,TRUE,-0.921,1274284,范志毅回应吐槽中国篮球,2021-03-16,44271,体育
20185,TRUE,-0.337,1273752,坦桑尼亚总统称新冠疫苗很危险,2021-01-29,44225,时事
20187,TRUE,-0.882,1272157,陈飞宇喂罗云熙吃东西,2021-04-19,44305,明星-内地
20189,TRUE,-0.323,1272061,百变大咖秀,2021-01-29,44225,综艺
20191,TRUE,-0.853,1271997,建议对大学生开展金融知识普及教育,2021-03-11,44266,财经
20193,TRUE,-0.231,1271101,严书记,2021-01-24,44220,
20195,TRUE,-0.868,1270524,侯明昊杨超越原声吻戏,2021-01-16,44212,
20197,TRUE,-0.69,1270447,建议严惩恶意欺凌他人的青少年,2021-03-11,44266,社会
20199,TRUE,-0.905,1270430,牛奶成箱倒掉或涉违法,2021-05-05,44321,社会
20201,TRUE,-0.604,1270368,少女感的眼睛长什么样,2021-01-19,44215,美妆
20203,TRUE,-0.691,1269780,在家吃草莓的正确方式,2021-02-02,44229,美食
20205,TRUE,-0.835,1269031,龚俊说公益和发财并不冲突,2021-03-26,44281,明星
20207,TRUE,-0.676,1268948,黄奕 别让姐以后没朋友行吗,2021-03-20,44275,
20209,TRUE,-0.687,1268072,郑恺苗苗好甜,2021-05-28,44344,综艺-内地综艺
21001,TRUE,-0.46,1267881,那英 苏运莹算她有本事,2021-01-29,44225,综艺-内地综艺
21003,TRUE,-0.524,1266124,夫妻的家就是婆婆的家吗,2021-02-18,44245,社会
21005,TRUE,-0.775,1265490,周翡主动吻谢允,2021-01-06,44202,电视剧
21007,TRUE,-0.679,1265334,为什么王一博的口罩不一样,2021-02-28,44255,明星
21009,TRUE,-0.526,1264707,张小斐 感谢每一颗亮晶晶的心,2021-04-10,44296,
21011,TRUE,-0.479,1264311,华春莹称种族灭绝在中国是世纪谎言,2021-02-19,44246,社会
21013,TRUE,-0.592,1261473,"Bell, KY",2021-02-04,44231,
21015,,,1261473,宋茜张翰对唱,2021-02-04,44231,明星
21017,,,1260191,上海楼盘认购前需公示3天,2021-04-25,44311,社会
21019,,,1259189,辛巴 臣退了,2021-04-10,44296,
21021,,,1258924,张嘉元在干嘛,2021-04-24,44310,
21023,,,1258576,宋佳 我妈可能就是南俪的原型,2021-04-23,44309,
21025,,,1257713,广东分离出新冠病毒501Y.V2南非突变株,2021-01-06,44202,社会
21027,,,1257530,你好李焕英票房进内地前三,2021-02-27,44254,电影-华语电影
21029,,,1257153,孙越是托,2021-02-11,44238,
21031,,,1255907,张文宏说今年摘口罩难度很大,2021-03-10,44265,
21033,,,1255779,5月14日刷新单日最高疫苗接种量,2021-05-15,44331,社会
21035,,,1254953,快乐大本营,2021-04-03,44289,综艺
21037,,,1253695,赵丽颖录制拜托了冰箱,2021-04-30,44316,综艺-内地综艺
21039,,,1250878,石家庄阳性病例没有在社区蔓延,2021-01-15,44211,社会
21041,,,1250584,迪丽热巴化妆师,2021-02-10,44237,明星
21043,,,1246228,我好像和他有一面之缘,2021-05-22,44338,社会
21045,,,1245957,龚俊 能别帮我值机了吗,2021-03-12,44267,
21047,,,1244371,利路修上海散步,2021-05-04,44320,明星
21049,,,1243041,应采儿状态,2021-03-27,44282,明星
21051,,,1243002,特朗普离任后首次发声,2021-01-23,44219,时事
21053,,,1242247,杨丞琳和潘玮柏见面了,2021-01-25,44221,明星-港台
21055,,,1241648,你好李焕英总票房超越哪吒,2021-03-06,44261,电影-华语电影
21057,,,1241050,男子买车厘子看岳父全家被隔离,2021-02-15,44242,社会
21059,,,1240948,持核酸检阴性结果到目的地后不需隔离,2021-01-27,44223,社会
21061,,,1239982,建议对996工作制进行监管,2021-03-10,44265,社会
21063,,,1239899,湖南省考83人作弊被通报,2021-04-19,44305,社会
21065,,,1239288,物业赔偿电梯坠亡男孩家属125万,2021-05-07,44323,社会
21067,,,1238957,男子欲家暴反被老婆打进医院,2021-04-10,44296,社会
21069,,,1238513,姚策妻子和养母隔空互呛,2021-05-13,44329,社会
21071,,,1237260,六安共发现3名确诊7名无症状,2021-05-14,44330,社会
21073,,,1235718,中疾控和卫健委专家组已到石家庄和邢台,2021-01-05,44201,社会
21075,,,1235513,王毅说美国干涉中国的老毛病要改改了,2021-03-19,44274,时事
21077,,,1235138,安徽六安新增1例本土确诊,2021-05-13,44329,社会
21079,,,1233446,第一次坐飞机有多激动,2021-04-05,44291,搞笑
21081,,,1229985,姚明明道歉,2021-03-24,44279,明星-内地
21083,,,1229761,米佧邢克垒车内吻,2021-03-21,44276,电视剧-国产剧
21085,,,1229328,社死短袖寄到奶奶家,2021-05-29,44345,
21087,,,1228277,赵露思演的李乐嫣,2021-04-01,44287,电视剧-国产剧
21089,,,1227511,央视评劣迹艺人想复出没那么容易,2021-02-05,44232,社会
21091,,,1227267,亲爱的唐先生,2021-05-13,44329,读书
21093,,,1226405,赵文瑄,2021-04-15,44301,明星
21095,,,1226330,时髦早春怎么穿,2021-01-20,44216,时尚
21097,,,1225777,顶楼,2021-03-12,44267,电视剧
21099,,,1225379,皓嫣,2021-04-11,44297,
21101,,,1223804,深圳茶颜悦色已排队3万号,2021-04-02,44288,社会
21103,,,1223719,西藏冒险王王相军系意外落水,2021-02-22,44249,社会
21105,,,1222789,两高中女生遭同学杀害案将开庭,2021-05-17,44333,社会
21107,,,1222666,山东栖霞市委书记和市长被免职,2021-01-15,44211,社会
21109,,,1222424,齐齐哈尔富拉尔基区居民一律居家不得外出,2021-01-19,44215,社会
21111,,,1221020,龚俊举起手机反拍,2021-03-17,44272,明星
21113,,,1220792,甘望星没完成青年大学习,2021-04-07,44293,明星
21115,,,1220558,张碧晨发长文,2021-01-22,44218,明星-内地
21117,,,1220456,那英粉丝应援海报都是金句,2021-01-19,44215,
21119,,,1220118,618预售,2021-05-24,44340,互联网
21121,,,1219903,免洗手消毒液需20秒以上作用时间,2021-01-24,44220,社会
21123,,,1219685,老舍之子舒乙去世,2021-04-21,44307,社会
21125,,,1219300,哇唧唧哇理智追星倡导书,2021-05-11,44327,明星-内地
21127,,,1218755,杭州就地过年补贴已兑付6.66亿,2021-02-05,44232,社会
21129,,,1217728,河北献县5名孩子坑塘中溺亡,2021-05-22,44338,社会
21131,,,1217512,舒淇 终于没人管我没人要我管啦,2021-05-07,44323,
21133,,,1217414,红衣温客行 封神,2021-03-19,44274,
21135,,,1215878,肖战冻得搓手,2021-01-15,44211,明星-内地
21137,,,1215703,这不是杨紫是杜华,2021-04-21,44307,明星
21139,,,1214232,时尚芭莎年度派对,2021-03-31,44286,时尚
21141,,,1213922,沈腾说乔杉比女演员的脸都小,2021-02-08,44235,明星-内地
21143,,,1212100,央行5月20号发行心形纪念币,2021-05-06,44322,社会
21145,,,1211939,女孩拍婚纱照被羊怼,2021-01-17,44213,
21147,,,1209311,缅甸民众敲锅碗瓢盆鸣笛向军方抗议,2021-02-03,44230,
21149,,,1208363,王俊凯毕业大戏,2021-01-05,44201,
21151,,,1206865,男生到底能有多自信,2021-01-25,44221,搞笑
21153,,,1206300,李钟硕,2021-01-20,44216,明星-日韩
21155,,,1205098,被文咏珊惊艳到,2021-02-14,44241,明星-港台
21157,,,1203567,皓嫣大婚,2021-05-03,44319,电视剧
21159,,,1203019,Amber晒与雪莉合照,2021-03-30,44285,明星-日韩
21161,,,1201599,狗狗币大涨,2021-04-16,44302,
21163,,,1201026,建议9年义务教育延至12年,2021-03-10,44265,社会
21165,,,1200838,2021考研国家线,2021-03-12,44267,教育
21167,,,1200000,董洁,2021-01-22,44218,明星
21169,,,1199596,517,2021-05-17,44333,社会
21171,,,1198657,余生请多指教,2021-02-28,44255,电视剧
21173,,,1197969,印度1岁儿童感染新冠死亡,2021-04-30,44316,社会
21175,,,1196913,詹姆斯谈科比去世一周年,2021-01-19,44215,体育
21177,,,1196348,李佳琦微博评论,2021-02-12,44239,明星
21179,,,1196177,张柏芝和儿子的相处方式,2021-05-05,44321,综艺-内地综艺
21181,,,1195649,王源都长大了月亮姐姐还没老,2021-02-12,44239,综艺-内地综艺
21183,,,1194294,印度疫苗接种现重大失误,2021-02-02,44229,社会
21185,,,1193587,李菲儿皇冠掉了,2021-04-16,44302,综艺
21187,,,1193579,杨丞琳被罗一舟唐九洲友情感动哭,2021-04-23,44309,明星
21189,,,1193504,秦朝,2021-01-19,44215,历史
21191,,,1193457,孙艺珍生日蛋糕图是爱的迫降,2021-01-14,44210,明星-日韩
21193,,,1192441,春晚小品,2021-02-11,44238,艺术
21195,,,1192275,向佐药水哥对决,2021-05-15,44331,
21197,,,1192028,能不能让梁博多唱两句,2021-04-16,44302,
21199,,,1191886,4AM吃鸡,2021-05-22,44338,游戏
21201,,,1191569,当男朋友暗示我给他买礼物,2021-04-16,44302,搞笑
21203,,,1190401,顺丰公开暴力分拣识别方法相关专利,2021-01-20,44216,财经
21205,,,1190128,李在镕获刑2年半,2021-01-18,44214,社会
21207,,,1188284,吴宇恒帅得好干净,2021-04-24,44310,
21209,,,1187701,真以为人家只是写小说 这叫写日记,2021-05-26,44342,
21211,,,1187425,赘婿,2021-03-02,44257,读书
21213,,,1187252,宁静 何炅有一颗很帅的脖子,2021-04-24,44310,
21215,,,1187197,熟蛋返生论文校长辞职,2021-04-28,44314,社会
21217,,,1186632,长歌行,2021-04-06,44292,电视剧
21219,,,1186607,江一燕,2021-03-17,44272,明星
21221,,,1186202,沈阳全员核酸检测发现命案逃犯,2021-01-16,44212,社会
21223,,,1186108,医保卡可以全家使用消息不实,2021-04-16,44302,社会
21225,,,1185781,90后女孩辞职拍摄菌类,2021-02-13,44240,社会
21227,,,1185515,驻缅甸大使馆紧急提醒在缅中国公民,2021-02-01,44228,社会
21229,,,1185514,印度一新郎新冠阳性仍举行婚礼,2021-04-28,44314,社会
21231,,,1185006,泫雅金晓钟算命结果,2021-03-02,44257,
21233,,,1184997,郭美美被批捕,2021-04-16,44302,社会
21235,,,1184823,三星堆是外星文明吗,2021-03-20,44275,社会
21237,,,1183978,任嘉伦工作室辟谣网传新剧,2021-04-28,44314,明星
21239,,,1182936,郎朗吉娜庆祝儿子百天,2021-05-07,44323,明星-内地
22001,,,1182827,山河令,2021-04-16,44302,电视剧
22003,,,1182784,公交公司回应女生被夹遭拖行,2021-04-11,44297,社会
22005,,,1182191,大多数主播月收入3000至5000元,2021-05-18,44334,社会
22007,,,1182047,疫苗接种方舱来了,2021-04-14,44300,社会
22009,,,1182043,张子枫梁靖康吻戏,2021-03-24,44279,明星
22011,,,1177645,肖战对李宇春说的话,2021-04-16,44302,综艺-内地综艺
22013,,,1176941,考研学生被高校预录取后退回,2021-04-16,44302,社会
22015,,,1176536,苏炳添百米9秒98,2021-04-24,44310,体育
22017,,,1172966,付国豪离职,2021-04-22,44308,
22019,,,1172139,张文宏说年轻人打疫苗是为国家做贡献,2021-03-10,44265,社会
22021,,,1172119,冷门歌手孙燕姿,2021-04-28,44314,搞笑
22023,,,1172092,黄晓明微博评论,2021-02-17,44244,明星-内地
22025,,,1171243,世卫敦促英国暂停疫苗接种计划,2021-01-31,44227,社会
22027,,,1170728,张若昀正式起诉父亲张健,2021-04-28,44314,明星-内地
22029,,,1170420,张彬彬 明天不更新可以吗,2021-04-03,44289,
22031,,,1170133,官方回应大连一女子不配合防疫登记,2021-01-15,44211,社会
22033,,,1168841,多所高校开设死亡教育课,2021-04-02,44288,社会
22035,,,1167158,张国立节目感觉在看国家宝藏,2021-02-12,44239,综艺-内地综艺
22037,,,1166999,这是利路修最开心的舞台吧,2021-04-24,44310,明星
22039,,,1166465,王者荣耀芈月新皮肤,2021-01-25,44221,
22041,,,1165162,快乐大本营,2021-03-27,44282,综艺
22043,,,1165009,张哲瀚全开麦,2021-05-03,44319,电视剧
22045,,,1164707,身份证是如何制作出来的,2021-01-08,44204,社会
22047,,,1164601,饿了么,2021-02-01,44228,互联网
22049,,,1164301,杨幂迪丽热巴终止与阿迪达斯合作,2021-03-25,44280,明星-内地
22051,,,1163035,央视曝光千元神药大盐湖水骗局,2021-05-06,44322,社会
22053,,,1162458,中共中央国务院举行春节团拜会,2021-02-10,44237,社会
22055,,,1162285,GAI经纪公司声明,2021-05-07,44323,明星-内地
22057,,,1162126,返乡人员指从外地返回农村地区人员,2021-01-21,44217,社会
22059,,,1161458,石家庄全市核酸检测,2021-01-05,44201,社会
22061,,,1159747,二建考试,2021-05-22,44338,教育
22063,,,1159065,流金岁月,2021-01-14,44210,艺术
22065,,,1157586,21世纪第21年的第21天,2021-01-21,44217,其他
22067,,,1157439,那英 成团出道我是认真的,2021-04-13,44299,
22069,,,1157036,广州疫情,2021-05-28,44344,时事
22071,,,1156632,终于等到周杰伦,2021-02-12,44239,综艺
22073,,,1156048,马鹤琪,2021-02-10,44237,
22075,,,1155975,蜜雪冰城道歉,2021-05-15,44331,社会
22077,,,1155785,辣目洋子贾冰小品好笑,2021-02-10,44237,综艺
22079,,,1155480,虞书欣魔术穿帮,2021-02-10,44237,明星
22081,,,1154769,河北5天新增234例感染者,2021-01-07,44203,社会
22083,,,1154519,孟子义情商,2021-05-30,44346,综艺-内地综艺
22085,,,1153290,龚俊唐艺昕曾舜晞把未来点亮,2021-05-04,44320,综艺
22087,,,1153014,六安百万人口核酸检测结果出来了,2021-05-17,44333,社会
22089,,,1152881,周柯宇把羽毛给奥斯卡了,2021-04-24,44310,
22091,,,1152555,看李焕英把口罩哭湿,2021-02-13,44240,电影-华语电影
22093,,,1151622,北京一确诊隐瞒行程拒不配合流调,2021-01-11,44207,社会
22095,,,1150250,离职了你会和领导说什么,2021-05-12,44328,搞笑
22097,,,1149897,创造营排名,2021-04-17,44303,综艺-内地综艺
22099,,,1148740,陈思诚映后首谈唐探3,2021-02-20,44247,电影-华语电影
22101,,,1147826,春节前后疫情防控情况,2021-01-20,44216,社会
22103,,,1147536,吴尊和同学合照像两辈人,2021-02-07,44234,明星
22105,,,1147474,袁隆平的禾下乘凉梦,2021-05-22,44338,社会
22107,,,1146630,8400亿人民币是什么概念,2021-05-04,44320,搞笑
22109,,,1145286,新冠疫苗不得强制要求全员接种,2021-04-11,44297,社会
22111,,,1144866,张哲瀚状态,2021-05-21,44337,明星-内地
22113,,,1144583,热巴 拍900张照片简单选出19张难,2021-02-28,44255,明星
22115,,,1143930,仅1个月巴西近6.7万人死于新冠,2021-04-02,44288,
22117,,,1143618,上海牺牲消防员一个32岁一个25岁,2021-04-25,44311,社会
22119,,,1141900,卫健局回应急救伤者从担架摔落,2021-03-16,44271,社会
22121,,,1141753,工信部22条规定保护个人信息,2021-02-05,44232,社会
22123,,,1141307,民警牺牲数月女儿还在发微信找爸爸,2021-04-04,44290,社会
22125,,,1141294,央行严肃整治拒收人民币现金行为,2021-01-21,44217,财经
22127,,,1141165,辽宁营口辟谣已找到零号病人,2021-05-19,44335,社会
23001,,,1139776,合肥一确诊病例合作公司老板发声,2021-05-16,44332,社会
23003,,,1139638,澳大利亚5月15日将解除对印旅行禁令,2021-05-07,44323,
23005,,,1137372,钟南山提醒打了新冠疫苗仍要戴口罩,2021-01-31,44227,社会
23007,,,1137210,汪小菲晒与子女合照,2021-02-05,44232,明星-内地
23009,,,1136656,深圳发现1例新冠肺炎阳性,2021-01-23,44219,社会
23011,,,1136330,焉栩嘉夏之光赵让女团舞,2021-05-02,44318,音乐-华语音乐
23013,,,1136284,大连88岁新冠肺炎确诊患者出院,2021-01-06,44202,
23015,,,1136033,诗妮娜,2021-01-27,44223,
23017,,,1134293,第七次全国人口普查主要数据结果,2021-05-11,44327,社会
23019,,,1134154,朱珠孕肚,2021-03-31,44286,明星-内地
23021,,,1134120,黄子韬 为什么一定要比出图快,2021-02-28,44255,明星-内地
23023,,,1134108,央视五四晚会,2021-05-04,44320,综艺-内地综艺
23025,,,1133724,他想等我们安心吃完这顿午饭,2021-05-22,44338,
23027,,,1132684,周也面无表情捧场,2021-05-24,44340,明星
23029,,,1132433,约翰逊悼念菲利普亲王,2021-04-09,44295,时事
23031,,,1132385,原单位回应女子生三孩哺乳期被开,2021-03-29,44284,社会
24001,,,1131809,影院回应男童踢5次屏幕要赔18万,2021-05-02,44318,社会
24003,,,1131648,超级红月亮,2021-05-26,44342,旅游
24005,,,1131247,周深跷二郎腿飙高音,2021-02-05,44232,
24009,,,1130286,辽宁省政协原副主席刘国强被公诉,2021-03-12,44267,法律
24011,,,1129628,上海市疫情防控新闻发布会,2021-01-21,44217,
24013,,,1129263,为什么石家庄部分村民要异地隔离,2021-01-13,44209,社会
24015,,,1129166,四川肯德基辣椒包要收费了,2021-05-06,44322,社会
24017,,,1129119,乒乓外交五十年,2021-04-10,44296,社会
24019,,,1129082,胡耘豪孙恩静结婚,2021-05-26,44342,明星-内地
24021,,,1128950,张子枫演技,2021-04-02,44288,明星-内地
24023,,,1128298,拼多多通报员工自杀,2021-01-09,44205,互联网
24025,,,1127636,迪丽热巴赫本造型,2021-02-28,44255,明星-内地
24027,,,1127110,杜淳最大的黑粉是王灿,2021-03-18,44273,综艺
24029,,,1126537,山东航空的飞机餐,2021-05-15,44331,搞笑
24031,,,1126432,陈伟霆终止与TommyHilfiger合作,2021-03-25,44280,明星-内地
24033,,,1126152,河北疫情病毒通过机场输入可能性很大,2021-01-09,44205,社会
